MAG	Depth_m	Zone	Estimated_Genome_Size	Cluster_Representative	Total_CDS	Total_KOs	Unique_KOs	TKO_Density	UKO_Density	CDS_Density	Quality	Completeness	Contamination	Strain.heterogeneity	Domain	Phylum	Class	Order	Family	Genus	Species	Contigs	Bases	Max	N50	N90	Sample	Count_of_Unique_Defense_Systems	Count_of_Unique_Genes_in_Systems	List_of_Defense_SubSystems_in_Genome	List_of_Unique_Genes_in_Systems	DS_Prevalence_per_Mbp	DS_Gene_Prevalence_per_PEG_Perc	Virus_List	Virus_Regions	Prophage_Count	Prophage_Base_Pairs	Prophage_Perc
Bin_S10.10	3300	Bathypelagic	4876790.80505922	TRUE	4198	2689	1729	55.3490458207354	35.5888807080891	86.4095553571763	99.05	99.62	0.19	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zunongwangia	Zunongwangia profunda	77	4858259	247130	133708	29696	MP0532	6	21	Defense_System|RM|RM_Type_IIG,Defense_System|RM|RM_Type_I,Defense_System|AbiZ|AbiZ,Defense_System|Cas|CAS_Class2-Subtype-II-C,Defense_System|Retron|Retron_III,Defense_System|SspBCDE|SspBCDE,Defense_System|Cas|CAS_Class1-Subtype-I-B	Bin_S10.10_00010,Bin_S10.10_00012,Bin_S10.10_00011,Bin_S10.10_00013,Bin_S10.10_02524,Bin_S10.10_02518,Bin_S10.10_02523,Bin_S10.10_04172,Bin_S10.10_02517,Bin_S10.10_00016,Bin_S10.10_01699,Bin_S10.10_03057,Bin_S10.10_01697,Bin_S10.10_04171,Bin_S10.10_00014,Bin_S10.10_02519,Bin_S10.10_02737,Bin_S10.10_03058,Bin_S10.10_03056,Bin_S10.10_00015,Bin_S10.10_01255	1.23501031954039	0.500238208670796	{'MP0532_16145', 'MP0532_12127'}	['S10CMP0532_Scaffold_12127|0|4469', 'S10CMP0532_Scaffold_16145|0|3694']	2	8163	0.168023153973471
Bin_S10.13	3300	Bathypelagic	5313749.34452019	FALSE	3281	2441	1826	60.2221187133141	45.0494013807913	80.9458301918818	66.86	76.28	3.14	82.76	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	455	4053328	60218	12526	4026	MP0532	7	16	Defense_System|RM|RM_Type_IV,Defense_System|Septu|Septu,Defense_System|RM|RM_Type_I,Defense_System|DarTG|DarTG,Defense_System|Lamassu-Fam|Lamassu-Fam,Defense_System|Kiwa|Kiwa,Defense_System|AbiD|AbiD	Bin_S10.13_02245,Bin_S10.13_02112,Bin_S10.13_02688,Bin_S10.13_02111,Bin_S10.13_02246,Bin_S10.13_02110,Bin_S10.13_02706,Bin_S10.13_02708,Bin_S10.13_02707,Bin_S10.13_01039,Bin_S10.13_02113,Bin_S10.13_01353,Bin_S10.13_01358,Bin_S10.13_02248,Bin_S10.13_03088,Bin_S10.13_02689	1.72697595654731	0.487656202377324	{'MP0532_9988_1'}	['S10CMP0532_Scaffold_9988|0|4236']	1	4236	0.104506716456206
Bin_S10.14	3300	Bathypelagic	1749253.23962223	TRUE	1577	1264	1063	79.3536195671963	66.7348873417165	99.0036851720479	91.06	91.06	0	0	Bacteria	Alphaproteobacteria	Alphaproteobacteria	TMED109	TMED109	MarineAlpha9-Bin2	MarineAlpha9-Bin2 sp002937675	181	1592870	64506	12832	3674	MP0532	2	2	Defense_System|RM|RM_Type_II	Bin_S10.14_00880,Bin_S10.14_00881	1.2555952463164	0.126823081800888	{'MP0532_17159'}	['S10CMP0532_Scaffold_17159|0|3552']	1	3552	0.222993715745792
Bin_S10.17	3300	Bathypelagic	2599671.36854742	FALSE	1877	1340	1065	77.3484043428243	61.4746646456029	108.345488769762	59.17	66.64	2.49	8.33	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	Casp-alpha2	Casp-alpha2 sp002938315	296	1732421	22891	6809	3087	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.2	3300	Bathypelagic	4723024.69135803	TRUE	3359	2261	1752	64.2402910786971	49.7784121936653	95.4370357069188	68.28	74.52	2.08	50	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Salinicola	Salinicola salarius_A	513	3519598	72081	8195	3324	MP0532	8	29	Defense_System|Gao_Mza|Gao_Mza,Defense_System|PrrC|PrrC,Defense_System|RM|RM_Type_IIG,Defense_System|RM|RM_Type_II,Defense_System|DarTG|DarTG,Defense_System|Cas|CAS_Class1-Subtype-I-C,Defense_System|AbiD|AbiD,Defense_System|Retron|Retron_II	Bin_S10.2_03071,Bin_S10.2_01662,Bin_S10.2_02042,Bin_S10.2_00032,Bin_S10.2_01349,Bin_S10.2_02044,Bin_S10.2_02010,Bin_S10.2_03077,Bin_S10.2_01657,Bin_S10.2_03072,Bin_S10.2_01661,Bin_S10.2_03248,Bin_S10.2_03076,Bin_S10.2_01346,Bin_S10.2_03065,Bin_S10.2_02043,Bin_S10.2_01350,Bin_S10.2_03252,Bin_S10.2_01347,Bin_S10.2_00031,Bin_S10.2_01348,Bin_S10.2_03250,Bin_S10.2_03249,Bin_S10.2_01345,Bin_S10.2_01351,Bin_S10.2_03075,Bin_S10.2_03251,Bin_S10.2_03074,Bin_S10.2_02011	2.27298685815823	0.863352188151235	{'MP0532_457', 'MP0532_10028', 'MP0532_113', 'MP0532_10661', 'MP0532_1832', 'MP0532_17947', 'MP0532_344', 'MP0532_5983', 'MP0532_26471', 'MP0532_9314', 'MP0532_264'}	['S10CMP0532_Scaffold_26471|0|2629', 'S10CMP0532_Scaffold_1832|0|14857', 'S10CMP0532_Scaffold_264|0|42342', 'S10CMP0532_Scaffold_344|0|37121', 'S10CMP0532_Scaffold_10028|0|5074', 'S10CMP0532_Scaffold_113|0|72081', 'S10CMP0532_Scaffold_457|0|31927', 'S10CMP0532_Scaffold_10661|0|4867', 'S10CMP0532_Scaffold_9314|0|5339', 'S10CMP0532_Scaffold_17947|0|3447', 'S10CMP0532_Scaffold_5983|0|7215']	11	226899	6.44673056411556
Bin_S10.22	3300	Bathypelagic	2607496	FALSE	1153	738	635	56.6060312268935	48.7057314757146	88.4373360496047	39.65	50	3.45	0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA1611	GCA-2722105		258	1303748	15453	5547	2914	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.27	3300	Bathypelagic	3178836.28208323	TRUE	2251	1465	1145	57.4209413585207	44.8784831778199	88.2283542648669	78.58	80.26	0.56	50	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesonia	Mesonia mobilis	364	2551334	36490	8554	3588	MP0532	2	1	Defense_System|RM|RM_Type_IIG	Bin_S10.27_01372	0.783903636293798	0.0444247001332741	{'MP0532_11624'}	['S10CMP0532_Scaffold_11624|0|4595']	1	4595	0.1801018604385
Bin_S10.29	3300	Bathypelagic	3131872.09176496	FALSE	2434	1730	1516	59.7754860386233	52.3812929679496	84.1003081028954	88.51	92.41	1.3	42.86	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter pacificensis	238	2894163	68345	16255	5283	MP0532	10	40	Defense_System|RM|RM_Type_III,Defense_System|Wadjet|Wadjet_I,Defense_System|PD-T7-4|PD-T7-4,Defense_System|RM|RM_Type_IV,Defense_System|RM|RM_Type_IIG,Defense_System|RM|RM_Type_I,Defense_System|Cas|CAS_Class1-Subtype-III-B,Defense_System|Dazbog|Dazbog,Defense_System|AVAST|AVAST_II,Defense_System|DRT|DRT_3,Defense_System|Cas|CAS_Class1-Subtype-I-C,Defense_System|CapRel|CapRel,Defense_System|Dsr|Dsr_II	Bin_S10.29_00513,Bin_S10.29_00517,Bin_S10.29_02130,Bin_S10.29_01683,Bin_S10.29_01701,Bin_S10.29_01706,Bin_S10.29_01636,Bin_S10.29_00512,Bin_S10.29_01637,Bin_S10.29_01638,Bin_S10.29_02131,Bin_S10.29_02455,Bin_S10.29_01699,Bin_S10.29_02457,Bin_S10.29_00514,Bin_S10.29_01697,Bin_S10.29_00515,Bin_S10.29_02456,Bin_S10.29_01705,Bin_S10.29_02419,Bin_S10.29_01702,Bin_S10.29_00132,Bin_S10.29_01633,Bin_S10.29_01632,Bin_S10.29_00133,Bin_S10.29_01090,Bin_S10.29_01704,Bin_S10.29_02458,Bin_S10.29_01629,Bin_S10.29_01089,Bin_S10.29_01628,Bin_S10.29_01566,Bin_S10.29_00136,Bin_S10.29_01972,Bin_S10.29_02422,Bin_S10.29_01631,Bin_S10.29_01565,Bin_S10.29_01587,Bin_S10.29_01630,Bin_S10.29_01091	3.45523040685684	1.64338537387017	{'MP0532_230', 'MP0532_14194', 'MP0532_25260', 'MP0532_18800', 'MP0532_379', 'MP0532_12445'}	['S10CMP0532_Scaffold_12445|0|4391', 'S10CMP0532_Scaffold_25260|0|2718', 'S10CMP0532_Scaffold_14194|0|4026', 'S10CMP0532_Scaffold_230|0|45818', 'S10CMP0532_Scaffold_18800|0|3339', 'S10CMP0532_Scaffold_379|0|35529']	6	95821	3.31083632815429
Bin_S10.3	3300	Bathypelagic	3304107.39459182	TRUE	2445	1914	1341	74.2379843262437	52.0131332191708	94.8337887553114	68.67	78.03	3.12	25	Bacteria	Alphaproteobacteria	Alphaproteobacteria	UBA7887	UBA7887	MarineAlpha9-Bin7	MarineAlpha9-Bin7 sp002937585	261	2578195	87034	15080	4029	MP0532	0	0	NA	NA	0	0	set()	[]	0	0	0
Bin_S10.32	3300	Bathypelagic	3811949.6124031	FALSE	1978	1223	767	62.1769771312773	38.9940649711281	100.560965466612	48.63	51.6	0.99	0	Bacteria	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	UBA11650	UBA11650 sp002710215	411	1966966	15428	4931	2969	MP0532	3	3	Defense_System|RM|RM_Type_IIG,Defense_System|RosmerTA|RosmerTA	Bin_S10.32_00395,Bin_S10.32_00967,Bin_S10.32_00968	1.5251915894835	0.151668351870576	set()	[]	0	0	0
